Temperature (K),Hard Sphere B2 (Å^3/mol),Square Well B2 (Å^3/mol),Lennard Jones B2 (Å^3/mol)
100.0,4.938475327929691e+25,-2.08448392425084e+26,-1.609814983902189e+26
100.70070070070071,4.938475327929691e+25,-2.0542861565071207e+26,-1.5904401164580894e+26
101.4014014014014,4.938475327929691e+25,-2.024743586065693e+26,-1.571427791592004e+26
102.10210210210211,4.938475327929691e+25,-1.9958360249555117e+26,-1.552768066185713e+26
102.8028028028028,4.938475327929691e+25,-1.9675440802226767e+26,-1.534451354246057e+26
103.50350350350351,4.938475327929691e+25,-1.939849116121548e+26,-1.516468411141882e+26
104.2042042042042,4.938475327929691e+25,-1.9127332184015205e+26,-1.4988103186623321e+26
104.90490490490491,4.938475327929691e+25,-1.886179160557347e+26,-1.4814684708473326e+26
105.6056056056056,4.938475327929691e+25,-1.8601703719201805e+26,-1.4644345605444433e+26
106.30630630630631,4.938475327929691e+25,-1.8346909074751092e+26,-1.4477005666492808e+26
107.007007007007,4.938475327929691e+25,-1.8097254192988987e+26,-1.4312587419896101e+26
107.70770770770771,4.938475327929691e+25,-1.7852591295189096e+26,-1.4151016018157452e+26
108.4084084084084,4.938475327929691e+25,-1.761277804701014e+26,-1.3992219128624392e+26
109.10910910910911,4.938475327929691e+25,-1.73776773158048e+26,-1.383612682949596e+26
109.8098098098098,4.938475327929691e+25,-1.7147156940556917e+26,-1.3682671510913332e+26
110.51051051051051,4.938475327929691e+25,-1.6921089513698235e+26,-1.3531787780847866e+26
111.21121121121121,4.938475327929691e+25,-1.669935217410618e+26,-1.3383412375519255e+26
111.91191191191191,4.938475327929691e+25,-1.6481826410629813e+26,-1.3237484074092782e+26
112.61261261261261,4.938475327929691e+25,-1.6268397875533938e+26,-1.3093943617420705e+26
113.31331331331332,4.938475327929691e+25,-1.605895620729073e+26,-1.2952733630607088e+26
114.01401401401401,4.938475327929691e+25,-1.585339486218507e+26,-1.2813798549189178e+26
114.71471471471472,4.938475327929691e+25,-1.56516109542339e+26,-1.2677084548740828e+26
115.41541541541541,4.938475327929691e+25,-1.5453505102951676e+26,-1.2542539477715522e+26
116.11611611611612,4.938475327929691e+25,-1.5258981288523315e+26,-1.2410112793357323e+26
116.81681681681681,4.938475327929691e+25,-1.5067946713973705e+26,-1.227975550051839e+26
117.51751751751752,4.938475327929691e+25,-1.4880311673948198e+26,-1.215142009323133e+26
118.21821821821823,4.938475327929691e+25,-1.4695989429742377e+26,-1.2025060498893559e+26
118.91891891891892,4.938475327929691e+25,-1.451489609024168e+26,-1.1900632024929154e+26
119.61961961961961,4.938475327929691e+25,-1.43369504984517e+26,-1.177809130780154e+26
120.32032032032032,4.938475327929691e+25,-1.4162074123319985e+26,-1.1657396264257731e+26
121.02102102102103,4.938475327929691e+25,-1.3990190956567325e+26,-1.1538506044691553e+26
121.72172172172172,4.938475327929691e+25,-1.3821227414264022e+26,-1.142138098851969e+26
122.42242242242241,4.938475327929691e+25,-1.3655112242901773e+26,-1.1305982581470575e+26
123.12312312312312,4.938475327929691e+25,-1.3491776429726913e+26,-1.1192273414691522e+26
123.82382382382383,4.938475327929691e+25,-1.3331153117114135e+26,-1.1080217145584928e+26
124.52452452452452,4.938475327929691e+25,-1.3173177520772785e+26,-1.0969778460289313e+26
125.22522522522522,4.938475327929691e+25,-1.3017786851589825e+26,-1.0860923037725466e+26
125.92592592592592,4.938475327929691e+25,-1.2864920240924687e+26,-1.0753617515132508e+26
126.62662662662663,4.938475327929691e+25,-1.2714518669181984e+26,-1.0647829455022652e+26
127.32732732732732,4.938475327929691e+25,-1.2566524897497575e+26,-1.0543527313487294e+26
128.02802802802802,4.938475327929691e+25,-1.2420883402383022e+26,-1.0440680409790748e+26
128.72872872872873,4.938475327929691e+25,-1.2277540313182043e+26,-1.0339258897191237e+26
